YEAR,WINNERS
2010,Kentucky
2010,Wake Forest
2010,Cornell
2010,Wisconsin
2010,Washington
2010,New Mexico
2010,Missouri
2010,West Virginia
2010,Kentucky
2010,Cornell
2010,Washington
2010,West Virginia
2010,Kentucky
2010,West Virginia
2010,West Virginia
2010,Kansas
2010,Northern Iowa
2010,Michigan State
2010,Maryland
2010,Tennessee
2010,Ohio
2010,Georgia Tech
2010,Ohio State
2010,Northern Iowa
2010,Michigan State
2010,Tennessee
2010,Ohio State
2010,Michigan State
2010,Tennessee
2010,Michigan State
2010,Duke
2010,California
2010,Texas A&M
2010,Purdue
2010,Old Dominion
2010,Baylor
2010,Saint Mary's
2010,Villanova
2010,Duke
2010,Purdue
2010,Baylor
2010,Saint Mary's
2010,Duke
2010,Baylor
2010,Duke
2010,Syracuse
2010,Gonzaga
2010,Butler
2010,Murray State
2010,Xavier
2010,Pitt
2010,BYU
2010,Kansas State
2010,Syracuse
2010,Butler
2010,Xavier
2010,Kansas State
2010,Butler
2010,Kansas State
2010,Butler
2011,Ohio State
2011,George Mason
2011,West Virginia
2011,Kentucky
2011,Marquette
2011,Syracuse
2011,Washington
2011,UNC
2011,Ohio State
2011,Kentucky
2011,Marquette
2011,UNC
2011,Kentucky
2011,UNC
2011,Kentucky
2011,Pitt
2011,Butler
2011,Kansas State
2011,Wisconsin
2011,Gonzaga
2011,BYU
2011,UCLA
2011,Florida
2011,Butler
2011,Wisconsin
2011,BYU
2011,Florida
2011,Butler
2011,Florida
2011,Butler
2011,Kansas
2011,Illinois
2011,Richmond
2011,Morehead State
2011,VCU
2011,Purdue
2011,Florida State
2011,Notre Dame
2011,Kansas
2011,Richmond
2011,VCU
2011,Florida State
2011,Kansas
2011,VCU
2011,VCU
2011,Duke
2011,Michigan
2011,Arizona
2011,Texas
2011,Cincinnati
2011,UConn
2011,Temple
2011,San Diego State
2011,Duke
2011,Arizona
2011,UConn
2011,San Diego State
2011,Arizona
2011,UConn
2011,UConn
2012,Syracuse
2012,Kansas State
2012,Vanderbilt
2012,Wisconsin
2012,Cincinnati
2012,Florida State
2012,Gonzaga
2012,Ohio State
2012,Syracuse
2012,Wisconsin
2012,Cincinnati
2012,Ohio State
2012,Syracuse
2012,Ohio State
2012,Ohio State
2012,UNC
2012,Creighton
2012,South Florida
2012,Ohio
2012,NC State
2012,Georgetown
2012,Purdue
2012,Kansas
2012,UNC
2012,Ohio
2012,NC State
2012,Kansas
2012,UNC
2012,Kansas
2012,Kansas
2012,Kentucky
2012,Iowa State
2012,VCU
2012,Indiana
2012,Colorado
2012,Baylor
2012,Xavier
2012,Lehigh
2012,Kentucky
2012,Indiana
2012,Baylor
2012,Xavier
2012,Kentucky
2012,Baylor
2012,Kentucky
2012,Michigan State
2012,Saint Louis
2012,New Mexico
2012,Louisville
2012,Murray State
2012,Marquette
2012,Florida
2012,Norfolk State
2012,Michigan State
2012,Louisville
2012,Marquette
2012,Florida
2012,Louisville
2012,Florida
2012,Louisville
2013,Indiana
2013,Temple
2013,California
2013,Syracuse
2013,Butler
2013,Marquette
2013,Illinois
2013,Miami (FL)
2013,Indiana
2013,Syracuse
2013,Marquette
2013,Miami (FL)
2013,Syracuse
2013,Marquette
2013,Syracuse
2013,Louisville
2013,Colorado State
2013,Oregon
2013,Saint Louis
2013,Memphis
2013,Michigan State
2013,Creighton
2013,Duke
2013,Louisville
2013,Oregon
2013,Michigan State
2013,Duke
2013,Louisville
2013,Duke
2013,Louisville
2013,Kansas
2013,UNC
2013,VCU
2013,Michigan
2013,Minnesota
2013,Florida
2013,San Diego State
2013,Florida Gulf Coast
2013,Kansas
2013,Michigan
2013,Florida
2013,Florida Gulf Coast
2013,Michigan
2013,Florida
2013,Michigan
2013,Gonzaga
2013,Wichita State
2013,Ole Miss
2013,La Salle
2013,Arizona
2013,Harvard
2013,Iowa State
2013,Ohio State
2013,Wichita State
2013,La Salle
2013,Arizona
2013,Ohio State
2013,Wichita State
2013,Ohio State
2013,Wichita State
2014,Virginia
2014,Memphis
2014,Harvard
2014,Michigan State
2014,UNC
2014,Iowa State
2014,UConn
2014,Villanova
2014,Virginia
2014,Michigan State
2014,Iowa State
2014,UConn
2014,Michigan State
2014,UConn
2014,UConn
2014,Wichita State
2014,Kentucky
2014,Saint Louis
2014,Louisville
2014,Tennessee
2014,Mercer
2014,Texas
2014,Michigan
2014,Kentucky
2014,Louisville
2014,Tennessee
2014,Michigan
2014,Kentucky
2014,Michigan
2014,Kentucky
2014,Florida
2014,Pitt
2014,Stephen F. Austin
2014,UCLA
2014,Dayton
2014,Syracuse
2014,Stanford
2014,Kansas
2014,Florida
2014,UCLA
2014,Dayton
2014,Stanford
2014,Florida
2014,Dayton
2014,Florida
2014,Arizona
2014,Gonzaga
2014,North Dakota State
2014,San Diego State
2014,Baylor
2014,Creighton
2014,Oregon
2014,Wisconsin
2014,Arizona
2014,San Diego State
2014,Baylor
2014,Wisconsin
2014,Arizona
2014,Wisconsin
2014,Wisconsin
2015,Villanova
2015,NC State
2015,Northern Iowa
2015,Louisville
2015,Dayton
2015,Oklahoma
2015,Michigan State
2015,Virginia
2015,NC State
2015,Louisville
2015,Oklahoma
2015,Michigan State
2015,Louisville
2015,Michigan State
2015,Michigan State
2015,Kentucky
2015,Cincinnati
2015,West Virginia
2015,Maryland
2015,Butler
2015,Notre Dame
2015,Wichita State
2015,Kansas
2015,Kentucky
2015,West Virginia
2015,Notre Dame
2015,Wichita State
2015,Kentucky
2015,Notre Dame
2015,Kentucky
2015,Duke
2015,San Diego State
2015,Utah
2015,Georgetown
2015,UCLA
2015,UAB
2015,Iowa
2015,Gonzaga
2015,Duke
2015,Utah
2015,UCLA
2015,Gonzaga
2015,Duke
2015,Gonzaga
2015,Duke
2015,Wisconsin
2015,Oregon
2015,Arkansas
2015,UNC
2015,Xavier
2015,Georgia State
2015,Ohio State
2015,Arizona
2015,Wisconsin
2015,UNC
2015,Xavier
2015,Arizona
2015,Wisconsin
2015,Arizona
2015,Wisconsin
2016,UNC
2016,Providence
2016,Indiana
2016,Kentucky
2016,Notre Dame
2016,Stephen F. Austin
2016,Wisconsin
2016,Xavier
2016,UNC
2016,Indiana
2016,Notre Dame
2016,Wisconsin
2016,UNC
2016,Notre Dame
2016,UNC
2016,Virginia
2016,Butler
2016,Little Rock
2016,Iowa State
2016,Gonzaga
2016,Utah
2016,Syracuse
2016,Middle Tennessee
2016,Virginia
2016,Iowa State
2016,Gonzaga
2016,Syracuse
2016,Virginia
2016,Syracuse
2016,Syracuse
2016,Kansas
2016,UConn
2016,Maryland
2016,Hawaii
2016,Wichita State
2016,Miami (FL)
2016,Iowa
2016,Villanova
2016,Kansas
2016,Maryland
2016,Miami (FL)
2016,Villanova
2016,Kansas
2016,Villanova
2016,Villanova
2016,Oregon
2016,St. Joseph's
2016,Yale
2016,Duke
2016,Northern Iowa
2016,Texas A&M
2016,VCU
2016,Oklahoma
2016,Oregon
2016,Duke
2016,Texas A&M
2016,Oklahoma
2016,Oregon
2016,Oklahoma
2016,Oklahoma
2017,Villanova
2017,Wisconsin
2017,Virginia
2017,Florida
2017,USC
2017,Baylor
2017,South Carolina
2017,Duke
2017,Wisconsin
2017,Florida
2017,Baylor
2017,South Carolina
2017,Florida
2017,South Carolina
2017,South Carolina
2017,Kansas
2017,Michigan State
2017,Iowa State
2017,Purdue
2017,Rhode Island
2017,Oregon
2017,Michigan
2017,Louisville
2017,Kansas
2017,Purdue
2017,Oregon
2017,Michigan
2017,Kansas
2017,Oregon
2017,Oregon
2017,UNC
2017,Arkansas
2017,Middle Tennessee
2017,Butler
2017,Cincinnati
2017,UCLA
2017,Wichita State
2017,Kentucky
2017,UNC
2017,Butler
2017,UCLA
2017,Kentucky
2017,UNC
2017,Kentucky
2017,UNC
2017,Gonzaga
2017,Northwestern
2017,Notre Dame
2017,West Virginia
2017,Xavier
2017,Florida State
2017,Saint Mary's
2017,Arizona
2017,Gonzaga
2017,West Virginia
2017,Xavier
2017,Arizona
2017,Gonzaga
2017,Xavier
2017,Gonzaga
2018,Villanova
2018,Alabama
2018,West Virginia
2018,Marshall
2018,Florida
2018,Texas Tech
2018,Butler
2018,Purdue
2018,Villanova
2018,West Virginia
2018,Texas Tech
2018,Purdue
2018,Villanova
2018,Texas Tech
2018,Villanova
2018,Kansas
2018,Seton Hall
2018,Clemson
2018,Auburn
2018,Syracuse
2018,Michigan State
2018,Rhode Island
2018,Duke
2018,Kansas
2018,Clemson
2018,Syracuse
2018,Duke
2018,Kansas
2018,Duke
2018,Kansas
2018,UMBC
2018,Kansas State
2018,Kentucky
2018,Buffalo
2018,Loyola (IL)
2018,Tennessee
2018,Nevada
2018,Cincinnati
2018,Kansas State
2018,Kentucky
2018,Loyola (IL)
2018,Nevada
2018,Kansas State
2018,Loyola (IL)
2018,Loyola (IL)
2018,Xavier
2018,Florida State
2018,Ohio State
2018,Gonzaga
2018,Houston
2018,Michigan
2018,Texas A&M
2018,UNC
2018,Florida State
2018,Gonzaga
2018,Michigan
2018,Texas A&M
2018,Florida State
2018,Michigan
2018,Michigan
2019,Duke
2019,UCF
2019,Liberty
2019,Virginia Tech
2019,Maryland
2019,LSU
2019,Minnesota
2019,Michigan State
2019,Duke
2019,Virginia Tech
2019,LSU
2019,Michigan State
2019,Duke
2019,Michigan State
2019,Michigan State
2019,UNC
2019,Washington
2019,Auburn
2019,Kansas
2019,Ohio State
2019,Houston
2019,Wofford
2019,Kentucky
2019,UNC
2019,Auburn
2019,Houston
2019,Kentucky
2019,Auburn
2019,Kentucky
2019,Auburn
2019,Virginia
2019,Oklahoma
2019,Oregon
2019,UC-Irvine
2019,Villanova
2019,Purdue
2019,Iowa
2019,Tennessee
2019,Virginia
2019,Oregon
2019,Purdue
2019,Tennessee
2019,Virginia
2019,Purdue
2019,Virginia
2019,Gonzaga
2019,Baylor
2019,Murray State
2019,Florida State
2019,Buffalo
2019,Texas Tech
2019,Florida
2019,Michigan
2019,Gonzaga
2019,Florida State
2019,Texas Tech
2019,Michigan
2019,Gonzaga
2019,Texas Tech
2019,Texas Tech
2020,Duke
2020,UCF
2020,Liberty
2020,Virginia Tech
2020,Maryland
2020,LSU
2020,Minnesota
2020,Michigan State
2020,Duke
2020,Virginia Tech
2020,LSU
2020,Michigan State
2020,Duke
2020,Michigan State
2020,Michigan State
2020,UNC
2020,Washington
2020,Auburn
2020,Kansas
2020,Ohio State
2020,Houston
2020,Wofford
2020,Kentucky
2020,UNC
2020,Auburn
2020,Houston
2020,Kentucky
2020,Auburn
2020,Kentucky
2020,Auburn
2020,Virginia
2020,Oklahoma
2020,Oregon
2020,UC-Irvine
2020,Villanova
2020,Purdue
2020,Iowa
2020,Tennessee
2020,Virginia
2020,Oregon
2020,Purdue
2020,Tennessee
2020,Virginia
2020,Purdue
2020,Virginia
2020,Gonzaga
2020,Baylor
2020,Murray State
2020,Florida State
2020,Buffalo
2020,Texas Tech
2020,Florida
2020,Michigan
2020,Gonzaga
2020,Florida State
2020,Texas Tech
2020,Michigan
2020,Gonzaga
2020,Texas Tech
2020,Texas Tech
2021,Michigan
2021,LSU
2021,Colorado
2021,Florida State
2021,UCLA
2021,Abilene Christian
2021,Maryland
2021,Alabama
2021,Michigan
2021,Florida State
2021,UCLA
2021,Alabama
2021,Michigan
2021,UCLA
2021,UCLA
2021,Illinois
2021,Loyola (IL)
2021,Oregon State
2021,Oklahoma State
2021,Syracuse
2021,West Virginia
2021,Rutgers
2021,Houston
2021,Loyola (IL)
2021,Oregon State
2021,Syracuse
2021,Houston
2021,Oregon State
2021,Houston
2021,Houston
2021,Baylor
2021,Wisconsin
2021,Villanova
2021,North Texas
2021,Texas Tech
2021,Arkansas
2021,Florida
2021,Oral Roberts
2021,Baylor
2021,Villanova
2021,Arkansas
2021,Oral Roberts
2021,Baylor
2021,Arkansas
2021,Baylor
2021,Gonzaga
2021,Oklahoma
2021,Creighton
2021,Ohio
2021,USC
2021,Kansas
2021,Iowa
2021,Gonzaga
2021,Creighton
2021,USC
2021,Oregon
2021,Gonzaga
2021,USC
2021,Gonzaga
2022,Baylor
2022,UNC
2022,Saint Mary's
2022,UCLA
2022,Texas
2022,Purdue
2022,Murray State
2022,St. Peter's
2022,UNC
2022,UCLA
2022,Purdue
2022,St. Peter's
2022,UNC
2022,St. Peter's
2022,UNC
2022,Kansas
2022,Creighton
2022,Richmond
2022,Providence
2022,Iowa State
2022,Wisconsin
2022,Miami (FL)
2022,Auburn
2022,Kansas
2022,Providence
2022,Iowa State
2022,Miami (FL)
2022,Kansas
2022,Miami (FL)
2022,Kansas
2022,Arizona
2022,TCU
2022,Houston
2022,Illinois
2022,Michigan
2022,Tennessee
2022,Ohio State
2022,Villanova
2022,Arizona
2022,Houston
2022,Michigan
2022,Villanova
2022,Houston
2022,Villanova
2022,Villanova
2022,Gonzaga
2022,Memphis
2022,New Mexico State
2022,Arkansas
2022,Notre Dame
2022,Texas Tech
2022,Michigan State
2022,Duke
2022,Gonzaga
2022,Arkansas
2022,Texas Tech
2022,Duke
2022,Arkansas
2022,Duke
2022,Duke
2023,Fairleigh Dickinson
2023,Florida Atlantic
2023,Duke
2023,Tennessee
2023,Kentucky
2023,Kansas State
2023,Michigan State
2023,Marquette
2023,Florida Atlantic
2023,Tennessee
2023,Kansas State
2023,Michigan State
2023,Florida Atlantic
2023,Kansas State
2023,Florida Atlantic
2023,Houston
2023,Auburn
2023,Miami (FL)
2023,Indiana
2023,Pitt
2023,Xavier
2023,Penn State
2023,Texas
2023,Houston
2023,Miami (FL)
2023,Xavier
2023,Texas
2023,Miami (FL)
2023,Texas
2023,Miami (FL)
2023,Alabama
2023,Maryland
2023,San Diego State
2023,Furman
2023,Creighton
2023,Baylor
2023,Missouri
2023,Princeton
2023,Alabama
2023,San Diego State
2023,Creighton
2023,Princeton
2023,San Diego State
2023,Creighton
2023,San Diego State
2023,Kansas
2023,Arkansas
2023,Saint Mary's
2023,UConn
2023,TCU
2023,Gonzaga
2023,Northwestern
2023,UCLA
2023,Arkansas
2023,UConn
2023,Gonzaga
2023,UCLA
2023,UConn
2023,Gonzaga
2023,UConn
